open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1771444800000,1939.83,1951.71,1934.11,1938.4,200316.693,1771448399999,389269151.24958,393533,109491.423,212777219.14148
1771448400000,1938.4,1947.34,1934.42,1940.71,89447.126,1771451999999,173630025.48831,187838,44526.142,86437117.76963
1771452000000,1940.72,1949.4,1938.5,1947.29,50267.647,1771455599999,97681970.56613,105830,24846.296,48293321.65478
1771455600000,1947.28,1955.59,1943.35,1954.77,72313.03,1771459199999,141029294.63238,160293,41361.916,80674579.77523
1771459200000,1954.77,1960.51,1949.1,1955.33,67760.785,1771462799999,132486791.43937,157366,34822.517,68093205.29025
1771462800000,1955.33,1973.57,1955.08,1965.99,123457.304,1771466399999,242600001.63904,221638,70590.819,138717327.12069
1771466400000,1966.0,1972.18,1961.51,1966.98,92250.383,1771469999999,181408438.15882,192787,39938.112,78555064.86148
1771470000000,1966.98,1972.34,1961.89,1971.19,60845.272,1771473599999,119776253.22529,142279,26442.636,52051725.21414
1771473600000,1971.2,1979.41,1967.87,1968.5,104410.503,1771477199999,206083820.10546,182861,47487.643,93738461.93811
1771477200000,1968.51,1971.81,1963.0,1969.39,72937.018,1771480799999,143447440.26262,150592,36642.37,72067995.99817
1771480800000,1969.38,1984.42,1969.0,1982.12,130323.489,1771484399999,257859990.51525,212490,71213.797,140896979.53047
1771484400000,1982.13,1986.91,1978.11,1980.82,93416.342,1771487999999,185130244.30928,159772,46871.187,92897476.0075
1771488000000,1980.82,1981.79,1965.24,1969.5,152494.251,1771491599999,300771694.51583,212692,71735.18,141457477.35379
1771491600000,1969.5,1979.62,1960.64,1962.94,146983.506,1771495199999,289567737.11312,222354,67016.74,132039392.07448
1771495200000,1962.94,1967.73,1956.31,1958.81,124696.704,1771498799999,244668229.93569,217151,58023.47,113886036.37802
1771498800000,1958.8,1963.59,1946.11,1948.7,148006.264,1771502399999,289349516.90895,204388,57598.259,112635017.65218
1771502400000,1948.71,1955.2,1943.93,1946.66,168293.458,1771505999999,328067379.30692,248654,81583.248,159058288.91106
1771506000000,1946.67,1947.5,1910.0,1920.21,520294.648,1771509599999,1002572467.39395,632691,234410.593,451564750.06049
1771509600000,1920.21,1947.95,1910.39,1935.82,483687.946,1771513199999,933056537.78139,760168,253768.921,489578876.94973
1771513200000,1935.83,1946.51,1911.9,1925.2,451440.053,1771516799999,868371222.14303,729184,225333.004,433485771.61317
1771516800000,1925.21,1929.0,1905.5,1920.95,261224.716,1771520399999,501171105.76629,507346,120315.238,230899406.66974
1771520400000,1920.96,1943.47,1909.43,1919.59,306845.475,1771523999999,591478653.42433,520903,148620.132,286477351.72442
1771524000000,1919.59,1944.28,1915.0,1938.78,211081.025,1771527599999,407906592.36639,432844,107041.456,206918515.08014
1771527600000,1938.79,1946.75,1926.66,1940.14,142885.586,1771531199999,276756575.15423,326237,70897.457,137315687.15417
1771531200000,1940.13,1953.0,1933.68,1949.12,118615.452,1771534799999,230529219.50803,238347,59092.898,114864194.06255
1771534800000,1949.18,1951.56,1944.54,1947.73,69229.131,1771538399999,134844370.70796,134870,32395.649,63103147.76562
1771538400000,1947.73,1948.15,1935.72,1942.97,63844.373,1771541999999,123958529.23719,125764,28748.89,55819472.9816
1771542000000,1942.98,1950.43,1941.24,1948.15,54299.519,1771545599999,105701530.92757,125880,29926.81,58254922.69221
1771545600000,1948.15,1963.56,1946.25,1956.64,145125.717,1771549199999,283996461.87204,240449,77893.144,152415678.06539
1771549200000,1956.65,1960.69,1948.77,1952.85,83253.34,1771552799999,162720091.42303,151673,40687.325,79534708.26972
1771552800000,1952.86,1955.81,1947.05,1948.62,76426.816,1771556399999,149100030.05104,130133,38175.524,74481505.09388
1771556400000,1948.63,1959.7,1948.62,1954.06,67197.594,1771559999999,131356496.27505,125455,38166.575,74615486.59382
1771560000000,1954.06,1955.26,1928.52,1938.12,295566.792,1771563599999,573357924.93855,305814,118998.748,230836914.43315
1771563600000,1938.11,1964.84,1934.95,1954.33,217536.56,1771567199999,424610625.68913,260743,121088.592,236250027.0714
1771567200000,1954.34,1959.59,1948.31,1957.51,92748.88,1771570799999,181330297.55712,153778,50679.346,99097996.97693
1771570800000,1957.5,1967.96,1955.81,1959.65,116397.579,1771574399999,228287981.36315,165539,60863.342,119390245.6162
1771574400000,1959.65,1965.56,1955.68,1958.82,86980.04,1771577999999,170471611.02578,145777,40908.619,80181382.23692
1771578000000,1958.82,1971.17,1958.61,1966.82,135198.563,1771581599999,265894882.93477,225278,72775.489,143133399.61146
1771581600000,1966.81,1972.99,1955.01,1956.5,142474.508,1771585199999,279868415.44635,214721,61536.545,120895259.20012
1771585200000,1956.51,1956.51,1939.24,1942.76,217656.222,1771588799999,424100057.86015,281489,104630.829,203885639.31223
1771588800000,1942.76,1951.47,1941.18,1948.73,116999.639,1771592399999,227670680.42735,181657,61437.847,119566324.0636
1771592400000,1948.74,1948.74,1921.53,1932.85,352804.002,1771595999999,682397673.7994,473659,170538.929,329791112.11831
1771596000000,1932.86,1953.8,1931.83,1942.64,282627.729,1771599599999,549072082.45377,484202,144433.727,280599532.55411
1771599600000,1942.63,1980.27,1934.56,1963.05,776878.68,1771603199999,1520243868.33086,1115124,397559.987,778146846.87702
1771603200000,1963.05,1972.87,1952.75,1967.71,306131.29,1771606799999,600817754.77384,539890,150691.784,295758193.04662
1771606800000,1967.71,1970.26,1937.6,1965.6,395684.497,1771610399999,773080378.14149,597727,198147.812,387174676.21162
1771610400000,1965.6,1980.73,1958.0,1974.49,336066.82,1771613999999,661652965.97956,548009,166967.183,328810697.23989
1771614000000,1974.49,1977.43,1960.41,1962.88,118172.266,1771617599999,232394305.03673,244186,53531.8,105278932.76
1771617600000,1962.89,1970.34,1960.71,1969.91,53530.488,1771621199999,105248850.37869,148169,28553.769,56144894.09139
1771621200000,1969.9,1974.43,1966.23,1973.44,78397.401,1771624799999,154513628.44032,138031,48050.982,94710499.15903
1771624800000,1973.44,1973.44,1963.11,1970.22,61332.874,1771628399999,120721375.26309,120193,29226.776,57526767.05915
1771628400000,1970.21,1972.79,1962.39,1967.85,59509.056,1771631999999,117040758.80037,112010,26859.024,52829251.10679
1771632000000,1967.85,1968.43,1960.2,1962.29,48962.377,1771635599999,96183335.14527,87857,21628.075,42483447.61343
1771635600000,1962.3,1968.35,1962.08,1965.36,37222.52,1771639199999,73140543.02446,75277,19902.021,39109500.78867
1771639200000,1965.37,1969.99,1963.8,1964.75,33932.874,1771642799999,66746247.91713,63956,19230.953,37829857.72873
1771642800000,1964.76,1965.25,1955.07,1958.29,75328.383,1771646399999,147579884.38287,113848,29242.465,57291542.12045
1771646400000,1958.3,1962.72,1955.17,1961.55,37177.434,1771649999999,72830600.91671,72989,20549.429,40258729.74082
1771650000000,1961.56,1963.73,1960.38,1962.01,25669.856,1771653599999,50363465.57972,51182,13027.107,25559802.01974
1771653600000,1962.01,1965.46,1959.32,1960.5,48919.729,1771657199999,95994213.19112,78083,24744.228,48560092.43261
1771657200000,1960.5,1964.4,1959.0,1962.0,27494.042,1771660799999,53938566.66127,50972,15085.108,29595776.5813
1771660800000,1962.0,1970.67,1961.26,1968.11,63724.752,1771664399999,125263657.34908,75788,41072.162,80743136.73838
1771664400000,1968.12,1977.0,1966.26,1969.39,135007.766,1771667999999,266359677.06406,144250,70559.968,139223930.37632
1771668000000,1969.38,1974.08,1969.17,1973.29,48750.699,1771671599999,96128627.94028,74297,23872.053,47073204.01923
1771671600000,1973.29,1988.2,1972.85,1976.25,233316.836,1771675199999,462110930.63513,246494,142910.176,283059000.78398
1771675200000,1976.24,1977.25,1968.31,1975.1,114659.171,1771678799999,226178376.88528,120297,55362.341,109219485.36084
1771678800000,1975.11,1980.68,1971.41,1980.22,55370.74,1771682399999,109444861.82773,88620,28316.366,55979011.46042
1771682400000,1980.21,1996.64,1976.8,1986.62,233445.308,1771685999999,464041709.90258,320868,127937.869,254366528.7286
