timestamp,open_interest,sum_open_interest_value
1770991200000,260783720.70000000,358772789.10690910
1770994800000,262192152.20000000,362955464.67260510
1770998400000,258172262.20000000,362448038.90258000
1771002000000,258622315.60000000,366226565.37809250
1771005600000,258963434.50000000,366215738.30142300
1771009200000,259712681.80000000,367397109.52193993
1771012800000,259542255.90000000,366188168.84931000
1771016400000,259818698.30000000,367119588.25130470
1771020000000,259046093.60000000,365032727.83723027
1771023600000,256282161.10000000,359441879.15179480
1771027200000,256990664.80000000,361443967.97803070
1771030800000,256996954.40000000,363229071.55248950
1771034400000,257140142.90000000,362933946.47918820
1771038000000,256781593.60000000,362087725.13536000
1771041600000,257447313.80000000,364447450.51026480
1771045200000,257413583.70000000,363519462.90114000
1771048800000,256338403.90000000,360831793.54126996
1771052400000,256351277.90000000,362429436.69502000
1771056000000,257426864.40000000,365958030.43104000
1771059600000,259439333.30000000,375123332.01847000
1771063200000,259753388.90000000,376902167.29390000
1771066800000,258796664.80000000,374323495.96672000
1771070400000,259588119.70000000,381782083.18372080
1771074000000,259126602.50000000,379257695.41900000
1771077600000,256946167.10000000,374231310.91997850
1771081200000,258634065.40000000,380269666.35762000
1771084800000,259070230.30000000,380341005.10343000
1771088400000,258048140.80000000,380285545.09696000
1771092000000,258238918.80000000,380295825.25124150
1771095600000,259643755.10000000,386142192.58472000
1771099200000,261075134.90000000,390829476.94530000
1771102800000,260957928.80000000,389707149.22642493
1771106400000,259456320.00000000,388319953.37981760
1771110000000,258839583.50000000,388207607.33330000
1771113600000,260550014.30000000,393013641.57012000
1771117200000,262172973.70000000,398731298.90139010
1771120800000,261502876.50000000,399472223.00611746
1771124400000,261845422.70000000,399894712.83981600
1771128000000,260685169.60000000,397779500.29264000
1771131600000,263914909.70000000,407716936.95436160
1771135200000,266770364.30000000,422004039.28617000
1771138800000,265285673.30000000,418751435.05007330
1771142400000,272106569.50000000,448622101.13465000
1771146000000,268945888.70000000,434526765.86479860
1771149600000,272229058.60000000,432708088.64470000
1771153200000,268592048.40000000,425530140.54727644
1771156800000,271031716.70000000,423297335.14206000
1771160400000,275363949.60000000,418708415.03583150
1771164000000,275416900.10000000,418255356.21883965
1771167600000,271547495.60000000,415969197.48404850
1771171200000,271331958.10000000,413184305.79468000
1771174800000,270506959.30000000,411495186.48716000
1771178400000,272555356.50000000,406979658.32580000
1771182000000,275497053.60000000,404680269.55972510
1771185600000,275446110.80000000,400293749.00475920
1771189200000,269882862.60000000,394352838.83112000
1771192800000,266233519.60000000,391786939.19874510
1771196400000,264113657.40000000,392235192.60474000
1771200000000,264023383.30000000,389133303.05276670
1771203600000,263175604.00000000,388816571.62299420
1771207200000,263224585.90000000,387744905.69620967
1771210800000,262782365.50000000,382322063.56595000
1771214400000,264149190.80000000,385814332.24653280
