timestamp,open_interest,sum_open_interest_value
1771387200000,79400.35100000,5367435950.71080700
1771390800000,79475.04100000,5387589186.87770000
1771394400000,79722.60100000,5390725914.08562200
1771398000000,79766.41900000,5409240054.85650000
1771401600000,79663.29300000,5423349526.17120000
1771405200000,79876.79500000,5439641580.24283000
1771408800000,79955.90900000,5447456162.40057000
1771412400000,80019.42300000,5423207454.33907400
1771416000000,79169.82400000,5331715548.22720000
1771419600000,79398.07900000,5353796587.35420000
1771423200000,79349.69500000,5332661719.83290700
1771426800000,79710.08200000,5356350119.22780000
1771430400000,80491.48300000,5447062695.26975100
1771434000000,80046.88600000,5372040430.11845100
1771437600000,80217.75000000,5386596613.10032100
1771441200000,81003.36000000,5373209338.93859000
1771444800000,81276.57200000,5375808229.72230000
1771448400000,80703.71200000,5343985046.12047800
1771452000000,80205.55100000,5317933578.41456000
1771455600000,80164.37000000,5320421056.09300000
1771459200000,80180.36000000,5327423387.56434500
1771462800000,80251.83100000,5329580272.99170000
1771466400000,79768.39100000,5331033324.88994700
1771470000000,79573.71000000,5315829288.98436400
1771473600000,79653.55300000,5332909981.55346800
1771477200000,79547.15200000,5312985408.07397000
1771480800000,79556.92400000,5317880162.73461200
1771484400000,79511.35400000,5337104223.62520000
1771488000000,79370.20900000,5332361094.03173350
1771491600000,79798.37000000,5341588862.86853600
1771495200000,80115.25400000,5352644327.19720000
1771498800000,80184.49400000,5357212998.63328000
1771502400000,80187.40400000,5329968537.73560000
1771506000000,80075.54400000,5324182882.78800000
1771509600000,79419.35300000,5232765938.42469900
1771513200000,79636.60900000,5286700179.44770000
1771516800000,79292.06600000,5262939517.89060000
1771520400000,79497.12000000,5268538383.91381100
1771524000000,80072.56800000,5312038215.38384800
1771527600000,80850.06700000,5417512983.10067700
1771531200000,80682.13300000,5407824851.09790000
1771534800000,80914.18300000,5428273612.08440000
1771538400000,80833.94100000,5407071230.82510000
1771542000000,80680.72100000,5399073168.59900000
1771545600000,80783.17500000,5410372362.45000000
1771549200000,80509.24200000,5411992265.72400000
1771552800000,80468.82000000,5410884394.44000000
1771556400000,80638.48500000,5419438406.00100000
1771560000000,80485.61500000,5419496040.18806500
1771563600000,80607.83000000,5419350064.89703900
1771567200000,80823.04500000,5476365404.15744800
1771570800000,81504.98700000,5526804265.47780000
1771574400000,81714.71100000,5539832489.30280000
1771578000000,81734.35300000,5545192427.76995200
1771581600000,81844.01800000,5579642267.53380000
1771585200000,81416.98600000,5528880968.68520000
1771588800000,81224.01900000,5463858534.11100000
