timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1772046000000,80146.31300000,5553478035.24796800,BTCUSDT
1772049600000,79711.50500000,5500055914.45332000,BTCUSDT
1772053200000,80106.68700000,5537926371.51684900,BTCUSDT
1772056800000,80266.30800000,5529287705.92704800,BTCUSDT
1772060400000,79838.73600000,5463452527.08960000,BTCUSDT
1772064000000,80112.54000000,5443964929.05337100,BTCUSDT
1772067600000,79860.35400000,5455388558.30640000,BTCUSDT
1772071200000,80086.93800000,5462417701.92180000,BTCUSDT
1772074800000,80004.36200000,5458195358.83254300,BTCUSDT
1772078400000,80000.98200000,5455066960.12500000,BTCUSDT
1772082000000,79871.58700000,5474160988.57790500,BTCUSDT
1772085600000,79591.89700000,5444961265.66700000,BTCUSDT
1772089200000,79602.84800000,5424637837.66432800,BTCUSDT
1772092800000,79744.68500000,5406689643.00000000,BTCUSDT
1772096400000,79771.36800000,5418342537.21120000,BTCUSDT
1772100000000,79806.09700000,5471195898.28473100,BTCUSDT
1772103600000,79405.26200000,5421156047.26400000,BTCUSDT
1772107200000,79510.02100000,5408033098.35700000,BTCUSDT
1772110800000,79482.24900000,5415952239.75960000,BTCUSDT
1772114400000,79697.47300000,5409972892.18677000,BTCUSDT
1772118000000,79133.43800000,5355695690.43340000,BTCUSDT
1772121600000,79579.50300000,5358740488.91460000,BTCUSDT
1772125200000,79891.44600000,5321401446.02340000,BTCUSDT
1772128800000,79852.15300000,5335027985.17136100,BTCUSDT
1772132400000,79942.30900000,5377784985.34879000,BTCUSDT
1772136000000,79254.65000000,5355246306.39341800,BTCUSDT
1772139600000,79267.91800000,5340842437.87780000,BTCUSDT
1772143200000,79207.80300000,5341148492.67630000,BTCUSDT
1772146800000,79005.36200000,5335846076.29811300,BTCUSDT
1772150400000,79068.23900000,5333010397.71980000,BTCUSDT
1772154000000,79417.15500000,5336062469.59650000,BTCUSDT
1772157600000,79704.77400000,5365398596.10660000,BTCUSDT
1772161200000,79652.59300000,5354414571.90530000,BTCUSDT
1772164800000,79162.13900000,5348184399.71088500,BTCUSDT
1772168400000,79206.07700000,5362972188.20070000,BTCUSDT
1772172000000,79312.88700000,5368415260.52175800,BTCUSDT
1772175600000,79322.65500000,5363567895.40050000,BTCUSDT
1772179200000,79438.46800000,5374039484.40770200,BTCUSDT
1772182800000,79736.81700000,5414242813.41198100,BTCUSDT
1772186400000,79261.23200000,5337459289.00320000,BTCUSDT
1772190000000,77373.51500000,5151157235.82800000,BTCUSDT
1772193600000,77285.27300000,5108154661.88040000,BTCUSDT
1772197200000,77383.93300000,5099445995.60462100,BTCUSDT
1772200800000,76869.21000000,5092193552.86695700,BTCUSDT
1772204400000,78097.15600000,5144969048.78627800,BTCUSDT
