timestamp,buyVol,sellVol,buySellRatio,symbol
1772247600000,866.0120,1619.3310,0.5348,BTCUSDT
1772251200000,1730.7850,2584.3030,0.6697,BTCUSDT
1772254800000,1292.4140,1497.4040,0.8631,BTCUSDT
1772258400000,17713.5670,25492.5730,0.6949,BTCUSDT
1772262000000,13820.6880,13264.1760,1.0420,BTCUSDT
1772265600000,4911.3950,6512.2400,0.7542,BTCUSDT
1772269200000,3775.8680,3568.3430,1.0582,BTCUSDT
1772272800000,3989.7660,3590.4650,1.1112,BTCUSDT
1772276400000,5358.1480,4338.2610,1.2351,BTCUSDT
1772280000000,2040.5100,2054.6530,0.9931,BTCUSDT
1772283600000,11375.5810,7837.9980,1.4513,BTCUSDT
1772287200000,10706.1430,11615.0500,0.9217,BTCUSDT
1772290800000,5526.0960,4629.8290,1.1936,BTCUSDT
1772294400000,2961.6110,2508.1870,1.1808,BTCUSDT
1772298000000,3476.5290,3641.7710,0.9546,BTCUSDT
1772301600000,6194.4170,5315.7790,1.1653,BTCUSDT
1772305200000,8426.2380,6774.2100,1.2439,BTCUSDT
1772308800000,6971.8360,5578.3820,1.2498,BTCUSDT
1772312400000,5001.3990,5153.1370,0.9706,BTCUSDT
1772316000000,6314.6470,5182.9440,1.2184,BTCUSDT
1772319600000,2405.3830,2968.7770,0.8102,BTCUSDT
1772323200000,2342.3570,3151.4170,0.7433,BTCUSDT
1772326800000,11384.9790,10937.0280,1.0410,BTCUSDT
1772330400000,10885.9370,10478.9470,1.0388,BTCUSDT
1772334000000,3686.8910,3907.4930,0.9435,BTCUSDT
1772337600000,3340.4140,3804.0910,0.8781,BTCUSDT
1772341200000,2257.3540,2340.1690,0.9646,BTCUSDT
1772344800000,3232.6520,5102.0700,0.6336,BTCUSDT
1772348400000,2581.0480,1865.9950,1.3832,BTCUSDT
1772352000000,3663.2690,4231.9430,0.8656,BTCUSDT
1772355600000,3836.4420,4133.3540,0.9282,BTCUSDT
1772359200000,3249.6480,3087.2310,1.0526,BTCUSDT
1772362800000,1878.8370,1369.8590,1.3716,BTCUSDT
1772366400000,1721.6560,1742.6800,0.9879,BTCUSDT
1772370000000,6926.8770,6195.3790,1.1181,BTCUSDT
1772373600000,4221.4730,4290.5420,0.9839,BTCUSDT
1772377200000,3300.4270,3120.1380,1.0578,BTCUSDT
1772380800000,6523.4640,8427.9420,0.7740,BTCUSDT
1772384400000,5205.0850,5309.3040,0.9804,BTCUSDT
1772388000000,4308.3230,3744.6630,1.1505,BTCUSDT
1772391600000,2008.0310,3773.0230,0.5322,BTCUSDT
1772395200000,5102.1570,6462.1930,0.7895,BTCUSDT
1772398800000,2700.0390,2133.8060,1.2654,BTCUSDT
1772402400000,9709.3000,7197.9980,1.3489,BTCUSDT
1772406000000,5285.1380,3815.3570,1.3852,BTCUSDT
1772409600000,4969.5380,4282.6710,1.1604,BTCUSDT
1772413200000,3799.4750,3661.1330,1.0378,BTCUSDT
1772416800000,2912.1750,3575.1810,0.8146,BTCUSDT
1772420400000,3822.7100,3129.9190,1.2213,BTCUSDT
1772424000000,2469.3510,2447.3980,1.0090,BTCUSDT
1772427600000,1935.1060,2132.5390,0.9074,BTCUSDT
1772431200000,3032.9200,3183.5230,0.9527,BTCUSDT
1772434800000,3951.6180,4864.4340,0.8123,BTCUSDT
1772438400000,3908.7590,3812.2150,1.0253,BTCUSDT
1772442000000,4316.6470,4206.8430,1.0261,BTCUSDT
1772445600000,1963.6970,1801.0690,1.0903,BTCUSDT
1772449200000,2969.1320,3014.4650,0.9850,BTCUSDT
1772452800000,1976.1670,2397.4450,0.8243,BTCUSDT
1772456400000,4568.2190,5818.3320,0.7851,BTCUSDT
1772460000000,14611.4380,12931.6090,1.1299,BTCUSDT
1772463600000,31402.9400,27183.7020,1.1552,BTCUSDT
1772467200000,18271.5860,16304.7660,1.1206,BTCUSDT
1772470800000,7340.5560,7761.6570,0.9457,BTCUSDT
1772474400000,4963.3970,5038.3070,0.9851,BTCUSDT
1772478000000,5031.0070,4985.0080,1.0092,BTCUSDT
1772481600000,5953.0800,5570.0170,1.0688,BTCUSDT
1772485200000,2712.9270,2237.2850,1.2126,BTCUSDT
1772488800000,2468.0840,2011.0210,1.2273,BTCUSDT
1772492400000,3367.7590,3645.8120,0.9237,BTCUSDT
1772496000000,3086.9300,2818.5700,1.0952,BTCUSDT
1772499600000,2693.5600,2165.6050,1.2438,BTCUSDT
1772503200000,4789.6880,5268.9120,0.9090,BTCUSDT
1772506800000,2085.9100,1883.6890,1.1074,BTCUSDT
1772510400000,1888.1960,2280.3910,0.8280,BTCUSDT
1772514000000,4686.7050,4765.8430,0.9834,BTCUSDT
1772517600000,3555.6860,3029.1880,1.1738,BTCUSDT
1772521200000,2970.1240,2222.9610,1.3361,BTCUSDT
1772524800000,8157.5790,10766.4420,0.7577,BTCUSDT
1772528400000,9813.7420,9479.0830,1.0353,BTCUSDT
1772532000000,6203.8320,4767.1790,1.3014,BTCUSDT
1772535600000,4722.0220,4129.8420,1.1434,BTCUSDT
